codigo,descripcion,merma,precio_unidad,proveedor_precio,formato_compra,precio_original,unidad_original,fecha_precio,url_precio,observaciones_precio
ING-0276,ACEDERA,15.0,,PENDIENTE,,,,2026-06-13,,Acedera no localizada en fuentes objetivo.
ING-0710,ACEITE DE TRUFA 250 ML,0.0,,PENDIENTE,,,,2026-06-13,,Duplicado: aceite de trufa ya tratado en lote01. No actualizar aquí para evitar sobrescritura.
ING-0277,ACELGA,15.0,4.5,CONSUM,CONSUM acelgas bolsa 300 g,1.35,300 g,2026-06-13,https://tienda.consum.es/es/c/frescos/verduras/2187?page=2,Precio con IVA. €/kg indicado por tienda. Merma estimada 15% por tallo/fibra.
ING-0278,ACELGA BAY ROJA 400 G,10.0,2.78,CONSUM,CONSUM acelgas hoja miniporción 400 g,1.11,400 g,2026-06-13,https://tienda.consum.es/es/p/acelgas-hoja-miniporcion/7221562,Producto equivalente a acelga baby/hoja. Precio con IVA. €/kg indicado por tienda.
ING-0279,ACELGA ROJA,15.0,,PENDIENTE,,,,2026-06-13,,Acelga roja no localizada; no sustituyo por acelga verde sin revisión.
ING-0280,ACHICORIA /RADICCIO,18.0,4.42,CONSUM,Endibia bandeja 450 g aprox.,1.99,450 g aprox.,2026-06-13,https://tienda.consum.es/es/g/tabla-para-brunch/RECBRUNCH25,Equivalente a achicoria/endibia/radicchio. Precio con IVA. €/kg indicado por tienda. Revisar si se requiere radicchio rojo.
ING-0449,AGUACATE A DADOS 1K,0.0,,PENDIENTE,,,,2026-06-13,,Aguacate a dados congelado: mejor reservar para lote06 frutas/congelados.
ING-0281,AJEDREA,10.0,,PENDIENTE,,,,2026-06-13,,Ajedrea no localizada en fuentes objetivo.
ING-0282,AJETE CHINO/cebolla tierna china,15.0,,PENDIENTE,,,,2026-06-13,,Duplicado: ajete chino/cebolleta tratado en lote01. Mantener precio anterior.
ING-0283,AJO NEGRO,5.0,,PENDIENTE,,,,2026-06-13,,Ajo negro no localizado con precio oficial claro en Makro/Consum/Mercadona.
ING-0284,AJO SECO 1K,8.0,7.4,CONSUM,Ajos secos malla 250 g aprox.,1.85,250 g aprox.,2026-06-13,https://tienda.consum.es/es/c/frescos/verduras/2187?page=2,Precio con IVA. €/kg indicado por tienda. Merma estimada por piel y raíz.
ING-0285,AJO TIERNO 200 gramos,5.0,6.63,CONSUM,COCINARTE ajos tiernos 300 g,1.99,300 g,2026-06-13,https://tienda.consum.es/es/c/congelados/frutas-verduras/otros-vegetales/5095,Producto equivalente congelado. Precio con IVA. €/kg indicado por tienda.
ING-0286,ALBAHACA 125G,10.0,77.5,CONSUM,EL DULZE albahaca bandeja 20 g,1.55,20 g,2026-06-13,https://tienda.consum.es/es/c/frescos/verduras/2187?page=3,"Precio con IVA. Convertido desde 7,75 €/100 g a €/kg. Revisar por formato 125 g."
ING-0287,ALCACHOFA,55.0,2.9,CONSUM,Alcachofa granel,2.9,1 kg,2026-06-13,https://tienda.consum.es/es/c/frescos/verduras/2187?page=3,Precio con IVA. €/kg indicado por tienda. Merma alta por hojas externas y tallo.
ING-0448,ALCACHOFA CORTADA 1K,0.0,6.63,CONSUM,CONSUM alcachofa troceada congelada 400 g,2.65,400 g,2026-06-13,https://tienda.consum.es/es/p/acelgas-hoja-miniporcion/7221562,Equivalente congelado/troceado. Precio con IVA. €/kg indicado por tienda. Merma 0% por producto limpio.
ING-0288,ALCACHOFA MORADA,55.0,2.9,CONSUM,Alcachofa granel,2.9,1 kg,2026-06-13,https://tienda.consum.es/es/c/frescos/verduras/2187?page=3,Equivalente a alcachofa morada. Precio con IVA. €/kg indicado por tienda.
ING-0289,ALGA AGAR AGAR EN COPOS,0.0,,PENDIENTE,,,,2026-06-13,,Agar agar en copos: reservar para lote08/12 texturizantes.
ING-0290,ALGA CODIUM,0.0,,PENDIENTE,,,,2026-06-13,,Alga codium no localizada con precio oficial claro.
ING-0291,ALGA ESPAGUETI DE MAR/ CODIUM,0.0,,PENDIENTE,,,,2026-06-13,,Alga espagueti de mar/codium no localizada con precio oficial claro en fuentes objetivo.
ING-0292,ALGA LECHUGA DE MAR SALAZON,0.0,,PENDIENTE,,,,2026-06-13,,Alga lechuga de mar salazón no localizada con precio oficial claro.
ING-0293,APIO RAIZ,25.0,,PENDIENTE,,,,2026-06-13,,Apio raíz no localizado; no sustituyo por apio rama.
ING-0733,"APIO RALLADO CONSERVA 1,5KG",0.0,2.3,CONSUM,HUERCASA remolacha cocida y pelada 500 g,1.15,500 g,2026-06-13,https://tienda.consum.es/es/c/frescos/verduras/2187?page=3,Producto de conserva/refrigerado equivalente a raíz rallada/cocida. Precio con IVA. €/kg indicado por tienda. Revisar por ser apio rallado.
ING-0294,APIO RAMA 750 g,25.0,2.33,CONSUM,Apio verde manojo 600 g aprox.,1.4,600 g aprox.,2026-06-13,https://tienda.consum.es/es/c/frescos/verduras/2187?page=2,"Precio con IVA. €/kg indicado por tienda. Merma por hojas duras, base y fibras."
ING-0295,BABY LEAF mix ensaladas 300 G,5.0,19.9,CONSUM,FLORETTE ensalada gourmet primeros brotes 100 g,1.99,100 g,2026-06-13,https://tienda.consum.es/es/c/frescos/verduras/2187?page=4,Equivalente a baby leaf/mix. Precio con IVA. €/kg indicado por tienda.
ING-0296,BATAVIA,20.0,6.3,CONSUM,Lechuga trocadero 300 g aprox.,1.89,300 g aprox.,2026-06-13,https://tienda.consum.es/es/c/frescos/verduras/2187?page=5,Equivalente lechuga tipo batavia/trocadero. Precio con IVA. €/kg.
ING-0297,BERENJENA,10.0,2.2,CONSUM,Berenjena negra/rayada,2.2,1 kg,2026-06-13,https://tienda.consum.es/es/c/frescos/verduras/2187?page=3,Precio con IVA. €/kg indicado por tienda. Merma por pedúnculo y recortes.
ING-0298,BERROS 100 G,8.0,,PENDIENTE,,,,2026-06-13,,Berros 100 g no localizados con precio oficial claro.
ING-0299,BERZA/COL RIZADA,20.0,1.99,CONSUM,Col rizada pieza,1.99,1 kg,2026-06-13,https://tienda.consum.es/es/c/frescos/verduras/2187?page=6,Equivalente berza/col rizada. Precio con IVA. €/kg.
ING-0300,BIMI 250G,25.0,4.98,CONSUM,Floretas brócoli bandeja,1.99,400 g aprox.,2026-06-13,https://tienda.consum.es/es/c/frescos/verduras/2187?page=6,Equivalente a bimi por formato de floreta. Precio con IVA. €/kg. Revisar producto exacto.
ING-0450,BOLETUS ENTEROS CONGELADOS 750G,0.0,17.88,MAKRO,METRO Chef boletus enteros 750 g,13.41,750 g,2026-06-13,https://tienda.makro.es/shop/pv/BTY-X139236/0032/0021/METRO-Chef-Boletus-enteros-750-g,Precio con IVA/IGIC incluido. Convertido a €/kg. Congelado limpio.
ING-0451,BOLETUS TROCEADO CONGELADOS,0.0,17.88,MAKRO,METRO Chef boletus enteros 750 g,13.41,750 g,2026-06-13,https://tienda.makro.es/shop/pv/BTY-X139236/0032/0021/METRO-Chef-Boletus-enteros-750-g,Equivalente a boletus troceado congelado. Precio con IVA/IGIC incluido. Revisar si hay formato troceado específico.
ING-0301,BONIATO/ BATATA,10.0,3.75,CONSUM,Boniato rojo,3.75,1 kg,2026-06-13,https://tienda.consum.es/es/c/frescos/verduras/2187?page=2,Precio con IVA. €/kg indicado por tienda. Merma por piel y puntas.
ING-0302,BRÓCOLI 400 g,30.0,2.6,CONSUM,Brócoli manojo,2.6,1 kg,2026-06-13,https://tienda.consum.es/es/c/frescos/verduras/2187?page=2,Precio con IVA. €/kg indicado por tienda. Merma por tronco.
ING-0303,"BROTES SAKURA MIX 1,6KG makro",5.0,,PENDIENTE,,,,2026-06-13,,"Brotes Sakura Mix 1,6 kg Makro no localizado con precio oficial claro en esta revisión."
ING-0304,BULBO DE HINOJO,15.0,,PENDIENTE,,,,2026-06-13,,Bulbo de hinojo no localizado con precio oficial claro.
ING-0305,CALABACIN VERDE,8.0,1.85,CONSUM,Calabacín verde,1.85,1 kg,2026-06-13,https://tienda.consum.es/es/c/frescos/verduras/2187?page=2,Precio con IVA. €/kg indicado por tienda.
ING-0306,CALABAZA CHATA,25.0,1.99,CONSUM,Calabaza entera,1.99,1 kg,2026-06-13,https://tienda.consum.es/es/c/frescos/verduras/2187?page=5,Precio con IVA. €/kg indicado por tienda. Merma por piel y semillas.
ING-0469,CALABAZA CHATA,25.0,1.99,CONSUM,Calabaza entera,1.99,1 kg,2026-06-13,https://tienda.consum.es/es/c/frescos/verduras/2187?page=5,Mismo producto duplicado en familia fruta. Precio con IVA. €/kg indicado por tienda.
ING-0307,CALÇOT 25PZ,30.0,,PENDIENTE,,,,2026-06-13,,Calçot 25 piezas: producto estacional; no localizado con precio oficial claro.
ING-0308,CANONIGOS 100 G sh levante,5.0,9.6,CONSUM,CONSUM canónigos bolsa 125 g,1.2,125 g,2026-06-13,https://tienda.consum.es/es/c/frescos/verduras/2187?page=2,Precio con IVA. €/kg indicado por tienda.
ING-0159,CARACOL PRECOCIDO 1K,5.0,,PENDIENTE,,,,2026-06-13,,Caracol ya tratado en lote04 pescado/marisco. No actualizar en lote verduras.
ING-0220,CARACOLES TIERRA MORO COCIDO,5.0,,PENDIENTE,,,,2026-06-13,,Caracoles ya tratados en lote04 pescado/marisco. No actualizar en lote verduras.
ING-0309,CARDO,0.0,9.88,CONSUM,FINDUS cardo 400 g congelado,3.95,400 g,2026-06-13,https://tienda.consum.es/es/c/congelados/frutas-verduras/2514?page=2,Producto congelado limpio. Precio con IVA. €/kg indicado por tienda.
ING-0452,CARDO TROCEADO 450 G mercadona,0.0,9.88,CONSUM,FINDUS cardo 400 g congelado,3.95,400 g,2026-06-13,https://tienda.consum.es/es/c/congelados/frutas-verduras/2514?page=2,Equivalente a cardo troceado. Precio con IVA. €/kg indicado por tienda.
ING-0747,CARNE PIMIENTO CHORICERO 140G X3,0.0,,PENDIENTE,,,,2026-06-13,,Carne de pimiento choricero: reservar para lote09 almacén seco/salsas.
ING-0310,CEBOLLA,10.0,1.8,CONSUM,Cebolla seca malla,3.6,2 kg aprox.,2026-06-13,https://tienda.consum.es/es/c/frescos/verduras/2187?page=2,Precio con IVA. €/kg indicado por tienda. Merma por piel y raíz.
ING-0311,CEBOLLA CHALOTA PELADA 250G,8.0,2.98,CONSUM,Cebolla francesa malla,1.49,500 g aprox.,2026-06-13,https://tienda.consum.es/es/c/frescos/verduras/2187?page=6,Equivalente a chalota/cebolla francesa. Precio con IVA. €/kg.
ING-0748,CEBOLLA FRITA CRUJIENTE 1 kG,0.0,,PENDIENTE,,,,2026-06-13,,Cebolla frita crujiente: reservar para lote09 almacén seco/salsas.
ING-0312,CEBOLLA MORADA 1K,10.0,2.8,CONSUM,Cebolla morada malla,1.4,500 g aprox.,2026-06-13,https://tienda.consum.es/es/c/frescos/verduras/2187?page=4,Precio con IVA. €/kg indicado por tienda.
ING-0313,CEBOLLETA TIERNA BLANCA,15.0,4.5,CONSUM,Cebolleta tierna,2.25,500 g aprox.,2026-06-13,https://tienda.consum.es/es/c/frescos/verduras/2187?page=6,Precio con IVA. €/kg indicado por tienda.
ING-0314,CEBOLLINO 125,10.0,90.0,CONSUM,EL DULZE cebollino bandeja 20 g,1.8,20 g,2026-06-13,https://tienda.consum.es/es/c/frescos/verduras/2187?page=5,"Precio con IVA. Convertido desde 9,00 €/100 g a €/kg."
ING-0315,CEBOLLITA GUARNICION,15.0,2.98,CONSUM,Cebolla francesa malla,1.49,500 g aprox.,2026-06-13,https://tienda.consum.es/es/c/frescos/verduras/2187?page=6,Equivalente a cebollita de guarnición. Precio con IVA. €/kg.
ING-0316,CHAMPIÑÓN K,5.0,5.79,CONSUM,Champiñón granel,5.79,1 kg,2026-06-13,https://tienda.consum.es/es/c/frescos/verduras/2187?page=6,Precio con IVA. €/kg indicado por tienda.
ING-0317,CHAMPIÑON PORTOBELLO,5.0,7.96,CONSUM,Champiñón portobello bandeja,1.99,250 g aprox.,2026-06-13,https://tienda.consum.es/es/c/frescos/verduras/2187?page=6,Precio con IVA. €/kg indicado por tienda.
ING-0318,CHILE HABANERO VERDE,10.0,16.9,CONSUM,Pimiento picante bandeja,1.69,100 g aprox.,2026-06-13,https://tienda.consum.es/es/c/frescos/verduras/2187?page=5,Equivalente a chile/habanero. Precio con IVA. €/kg.
ING-0319,CHIRIVIA,15.0,3.39,CONSUM,Chirivía granel,3.39,1 kg,2026-06-13,https://tienda.consum.es/es/c/frescos/verduras/2187?page=7,Precio con IVA. €/kg indicado por tienda.
ING-0559,CHOCOLATE/COBERTURA BLANCO SIN AZUCAR,0.0,,PENDIENTE,,,,2026-06-13,,Chocolate/cobertura pertenece a lote08 pastelería.
ING-0320,CHOI SUM ( ACELGA CHINA),15.0,,PENDIENTE,,,,2026-06-13,,Choi sum/acelga china no localizado con precio oficial claro.
ING-0321,CILANTRO 125G,15.0,62.5,CONSUM,EL DULZE cilantro bandeja 20 g,1.25,20 g,2026-06-13,https://tienda.consum.es/es/c/frescos/verduras/2187?page=2,"Precio con IVA. Convertido desde 6,25 €/100 g a €/kg."
ING-0322,CITRONELA LEMON-GRAS 300G,15.0,,PENDIENTE,,,,2026-06-13,,Citronela/lemon grass 300 g no localizado con precio oficial claro.
ING-0945,COCA COLA 0% 24 CRISTAL 35CL,0.0,,PENDIENTE,,,,2026-06-13,,Bebida: reservar para lote11 bebidas.
ING-0947,COCA COLA 0% LATA 33 clx 24,0.0,,PENDIENTE,,,,2026-06-13,,Bebida: reservar para lote11 bebidas.
ING-0946,COCA COLA LATA,0.0,,PENDIENTE,,,,2026-06-13,,Bebida: reservar para lote11 bebidas.
ING-0948,COCACOLA cristal 35cl 24u,0.0,,PENDIENTE,,,,2026-06-13,,Bebida: reservar para lote11 bebidas.
ING-0323,COGOLLOS TUDELA 3PIEZAS,12.0,3.61,CONSUM,Cogollos 3 unidades 330 g aprox.,1.19,330 g aprox.,2026-06-13,https://tienda.consum.es/es/c/frescos/verduras/2187?page=2,Precio con IVA. €/kg indicado por tienda. Merma por hojas exteriores/base.
ING-0324,COL CHINA,18.0,1.8,CONSUM,Repollo liso entero,1.8,1 kg,2026-06-13,https://tienda.consum.es/es/c/frescos/verduras/2187?page=4,Equivalente a col china/repollo. Precio con IVA. Revisar si se requiere pak choi/col china real.
ING-0325,COL DE BRUSELAS 1K,0.0,7.48,CONSUM,FINDUS coles de Bruselas 400 g congeladas,2.99,400 g,2026-06-13,https://tienda.consum.es/es/c/congelados/frutas-verduras/2514?page=2,Producto congelado limpio. Precio con IVA. €/kg indicado por tienda.
ING-0326,COL KALE,20.0,1.99,CONSUM,Col rizada pieza,1.99,1 kg,2026-06-13,https://tienda.consum.es/es/c/frescos/verduras/2187?page=6,Equivalente a kale/col rizada. Precio con IVA. €/kg.
ING-0327,COL LOMBARDA PIEZA +/-2K,15.0,1.99,CONSUM,Col lombarda pieza,1.99,1 kg,2026-06-13,https://tienda.consum.es/es/c/frescos/verduras/2187?page=5,Precio con IVA. €/kg indicado por tienda.
ING-0328,COL REPOLLO LISO 1PIEZA 2K,15.0,1.8,CONSUM,Repollo liso entero,1.8,1 kg,2026-06-13,https://tienda.consum.es/es/c/frescos/verduras/2187?page=4,Precio con IVA. €/kg indicado por tienda.
ING-0329,COL REPOLLO RIZADO,20.0,1.99,CONSUM,Col rizada pieza,1.99,1 kg,2026-06-13,https://tienda.consum.es/es/c/frescos/verduras/2187?page=6,Precio con IVA. €/kg indicado por tienda.
ING-0079,COLA CERDO,25.0,,PENDIENTE,,,,2026-06-13,,Cola de cerdo pertenece a lote03 carnes. No actualizar en lote verduras.
